Date,Country/Region,Province/State,Confirmed,Recovered,Deaths
17-02-2020,Angola,,0,0,0
18-02-2020,Angola,,0,0,0
19-02-2020,Angola,,0,0,0
20-02-2020,Angola,,0,0,0
21-02-2020,Angola,,0,0,0
22-02-2020,Angola,,0,0,0
23-02-2020,Angola,,0,0,0
24-02-2020,Angola,,0,0,0
25-02-2020,Angola,,0,0,0
26-02-2020,Angola,,0,0,0
27-02-2020,Angola,,0,0,0
28-02-2020,Angola,,0,0,0
29-02-2020,Angola,,0,0,0
01-03-2020,Angola,,0,0,0
02-03-2020,Angola,,0,0,0
03-03-2020,Angola,,0,0,0
04-03-2020,Angola,,0,0,0
05-03-2020,Angola,,0,0,0
06-03-2020,Angola,,0,0,0
07-03-2020,Angola,,0,0,0
08-03-2020,Angola,,0,0,0
09-03-2020,Angola,,0,0,0
10-03-2020,Angola,,0,0,0
11-03-2020,Angola,,0,0,0
12-03-2020,Angola,,0,0,0
13-03-2020,Angola,,0,0,0
14-03-2020,Angola,,0,0,0
15-03-2020,Angola,,0,0,0
16-03-2020,Angola,,0,0,0
17-03-2020,Angola,,0,0,0
18-03-2020,Angola,,0,0,0
19-03-2020,Angola,,0,0,0
20-03-2020,Angola,,1,0,0
21-03-2020,Angola,,2,0,0
22-03-2020,Angola,,2,0,0
23-03-2020,Angola,,3,0,0
24-03-2020,Angola,,3,0,0
25-03-2020,Angola,,3,0,0
26-03-2020,Angola,,4,0,0
27-03-2020,Angola,,4,0,0
28-03-2020,Angola,,5,0,0
29-03-2020,Angola,,7,0,2
30-03-2020,Angola,,7,0,2
31-03-2020,Angola,,7,1,2
01-04-2020,Angola,,8,1,2
02-04-2020,Angola,,8,1,2
03-04-2020,Angola,,8,1,2
04-04-2020,Angola,,10,2,2
05-04-2020,Angola,,14,2,2
06-04-2020,Angola,,16,2,2
07-04-2020,Angola,,17,2,2
08-04-2020,Angola,,19,2,2
09-04-2020,Angola,,19,2,2
10-04-2020,Angola,,19,2,2
11-04-2020,Angola,,19,4,2
22-01-2020,Antigua and Barbuda,,0,0,0
23-01-2020,Antigua and Barbuda,,0,0,0
24-01-2020,Antigua and Barbuda,,0,0,0
25-01-2020,Antigua and Barbuda,,0,0,0
26-01-2020,Antigua and Barbuda,,0,0,0
27-01-2020,Antigua and Barbuda,,0,0,0
28-01-2020,Antigua and Barbuda,,0,0,0
29-01-2020,Antigua and Barbuda,,0,0,0
30-01-2020,Antigua and Barbuda,,0,0,0
31-01-2020,Antigua and Barbuda,,0,0,0
01-02-2020,Antigua and Barbuda,,0,0,0
02-02-2020,Antigua and Barbuda,,0,0,0
03-02-2020,Antigua and Barbuda,,0,0,0
04-02-2020,Antigua and Barbuda,,0,0,0
05-02-2020,Antigua and Barbuda,,0,0,0
06-02-2020,Antigua and Barbuda,,0,0,0
07-02-2020,Antigua and Barbuda,,0,0,0
08-02-2020,Antigua and Barbuda,,0,0,0
09-02-2020,Antigua and Barbuda,,0,0,0
10-02-2020,Antigua and Barbuda,,0,0,0
11-02-2020,Antigua and Barbuda,,0,0,0
12-02-2020,Antigua and Barbuda,,0,0,0
13-02-2020,Antigua and Barbuda,,0,0,0
14-02-2020,Antigua and Barbuda,,0,0,0
15-02-2020,Antigua and Barbuda,,0,0,0
16-02-2020,Antigua and Barbuda,,0,0,0
17-02-2020,Antigua and Barbuda,,0,0,0
18-02-2020,Antigua and Barbuda,,0,0,0
19-02-2020,Antigua and Barbuda,,0,0,0
20-02-2020,Antigua and Barbuda,,0,0,0
21-02-2020,Antigua and Barbuda,,0,0,0
22-02-2020,Antigua and Barbuda,,0,0,0
23-02-2020,Antigua and Barbuda,,0,0,0
24-02-2020,Antigua and Barbuda,,0,0,0
25-02-2020,Antigua and Barbuda,,0,0,0
26-02-2020,Antigua and Barbuda,,0,0,0
27-02-2020,Antigua and Barbuda,,0,0,0
28-02-2020,Antigua and Barbuda,,0,0,0
29-02-2020,Antigua and Barbuda,,0,0,0
01-03-2020,Antigua and Barbuda,,0,0,0
02-03-2020,Antigua and Barbuda,,0,0,0
03-03-2020,Antigua and Barbuda,,0,0,0
04-03-2020,Antigua and Barbuda,,0,0,0
05-03-2020,Antigua and Barbuda,,0,0,0
06-03-2020,Antigua and Barbuda,,0,0,0
07-03-2020,Antigua and Barbuda,,0,0,0
08-03-2020,Antigua and Barbuda,,0,0,0
09-03-2020,Antigua and Barbuda,,0,0,0
10-03-2020,Antigua and Barbuda,,0,0,0
11-03-2020,Antigua and Barbuda,,0,0,0
12-03-2020,Antigua and Barbuda,,0,0,0
13-03-2020,Antigua and Barbuda,,1,0,0
14-03-2020,Antigua and Barbuda,,1,0,0
15-03-2020,Antigua and Barbuda,,1,0,0
16-03-2020,Antigua and Barbuda,,1,0,0
17-03-2020,Antigua and Barbuda,,1,0,0
18-03-2020,Antigua and Barbuda,,1,0,0
19-03-2020,Antigua and Barbuda,,1,0,0
20-03-2020,Antigua and Barbuda,,1,0,0
21-03-2020,Antigua and Barbuda,,1,0,0
22-03-2020,Antigua and Barbuda,,1,0,0
23-03-2020,Antigua and Barbuda,,3,0,0
24-03-2020,Antigua and Barbuda,,3,0,0
25-03-2020,Antigua and Barbuda,,3,0,0
26-03-2020,Antigua and Barbuda,,7,0,0
27-03-2020,Antigua and Barbuda,,7,0,0
28-03-2020,Antigua and Barbuda,,7,0,0
29-03-2020,Antigua and Barbuda,,7,0,0
30-03-2020,Antigua and Barbuda,,7,0,0
31-03-2020,Antigua and Barbuda,,7,0,0
01-04-2020,Antigua and Barbuda,,7,0,0
02-04-2020,Antigua and Barbuda,,9,0,0
03-04-2020,Antigua and Barbuda,,15,0,0
04-04-2020,Antigua and Barbuda,,15,0,0
05-04-2020,Antigua and Barbuda,,15,0,0
06-04-2020,Antigua and Barbuda,,15,0,0
07-04-2020,Antigua and Barbuda,,19,0,1
08-04-2020,Antigua and Barbuda,,19,0,2
09-04-2020,Antigua and Barbuda,,19,0,2
10-04-2020,Antigua and Barbuda,,19,0,2
11-04-2020,Antigua and Barbuda,,21,0,2
22-01-2020,Argentina,,0,0,0
23-01-2020,Argentina,,0,0,0
24-01-2020,Argentina,,0,0,0
25-01-2020,Argentina,,0,0,0
26-01-2020,Argentina,,0,0,0
27-01-2020,Argentina,,0,0,0
28-01-2020,Argentina,,0,0,0
29-01-2020,Argentina,,0,0,0
30-01-2020,Argentina,,0,0,0
31-01-2020,Argentina,,0,0,0
01-02-2020,Argentina,,0,0,0
02-02-2020,Argentina,,0,0,0
03-02-2020,Argentina,,0,0,0
04-02-2020,Argentina,,0,0,0
05-02-2020,Argentina,,0,0,0
06-02-2020,Argentina,,0,0,0
07-02-2020,Argentina,,0,0,0
08-02-2020,Argentina,,0,0,0
09-02-2020,Argentina,,0,0,0
10-02-2020,Argentina,,0,0,0
11-02-2020,Argentina,,0,0,0
12-02-2020,Argentina,,0,0,0
13-02-2020,Argentina,,0,0,0
14-02-2020,Argentina,,0,0,0
15-02-2020,Argentina,,0,0,0
16-02-2020,Argentina,,0,0,0
17-02-2020,Argentina,,0,0,0
18-02-2020,Argentina,,0,0,0
19-02-2020,Argentina,,0,0,0
20-02-2020,Argentina,,0,0,0
21-02-2020,Argentina,,0,0,0
22-02-2020,Argentina,,0,0,0
23-02-2020,Argentina,,0,0,0
24-02-2020,Argentina,,0,0,0
25-02-2020,Argentina,,0,0,0
26-02-2020,Argentina,,0,0,0
27-02-2020,Argentina,,0,0,0
28-02-2020,Argentina,,0,0,0
29-02-2020,Argentina,,0,0,0
01-03-2020,Argentina,,0,0,0
02-03-2020,Argentina,,0,0,0
03-03-2020,Argentina,,1,0,0
04-03-2020,Argentina,,1,0,0
05-03-2020,Argentina,,1,0,0
06-03-2020,Argentina,,2,0,0
07-03-2020,Argentina,,8,0,0
08-03-2020,Argentina,,12,0,1
09-03-2020,Argentina,,12,0,1
10-03-2020,Argentina,,17,0,1
11-03-2020,Argentina,,19,0,1
12-03-2020,Argentina,,19,0,1
13-03-2020,Argentina,,31,0,2
14-03-2020,Argentina,,34,1,2
15-03-2020,Argentina,,45,1,2
16-03-2020,Argentina,,56,1,2
17-03-2020,Argentina,,68,3,2
18-03-2020,Argentina,,79,3,2
19-03-2020,Argentina,,97,3,3
20-03-2020,Argentina,,128,3,3
21-03-2020,Argentina,,158,3,4
22-03-2020,Argentina,,266,3,4
